id,archetype,age,gender,location,urban_rural,education,income_band,trust_govt,trust_media,trust_academia,trust_local,trust_social_media,trust_influencers,trust_religious_leaders,youtube_usage,whatsapp_usage,newspaper_usage,tv_news_usage,regional_media_exposure,english_media_exposure,political_interest,economic_optimism,traditionalism
684,Urban Student,20,Female,"Kochi, Kerala",Urban,Undergraduate,Below ₹2.5L,5,5,8,6,7,7,4,8,7,3,3,4,9,4,8,3
685,Homemaker,38,Female,"Kolkata, West Bengal",Urban,Undergraduate,Below ₹2.5L,5,4,4,8,6,5,7,6,8,4,7,7,4,4,5,8
686,Retired Government Officer,72,Male,"Ujjain, Madhya Pradesh",Semi-Urban,Postgraduate,₹20L-50L,8,5,7,6,4,2,7,3,5,9,8,6,8,9,6,7
687,Small Business Owner,49,Male,"Kolhapur, Maharashtra",Semi-Urban,Higher Secondary,₹5L-10L,5,5,4,8,5,4,6,5,8,6,6,6,4,5,6,7
688,Homemaker,65,Female,"Hoshiarpur district, Punjab",Rural,Secondary,₹2.5L-5L,5,6,4,9,7,5,7,5,9,4,7,6,4,3,6,8
689,Rural Farmer,61,Male,"Anantapur district, Andhra Pradesh",Rural,Secondary,₹2.5L-5L,5,4,2,8,5,3,8,4,7,4,6,9,2,6,5,7
690,Retired Government Officer,65,Male,"Ujjain, Madhya Pradesh",Semi-Urban,Postgraduate,₹20L-50L,8,6,7,7,3,2,7,2,5,8,8,6,7,8,6,8
691,Homemaker,43,Female,"Vadodara, Gujarat",Urban,Primary,₹2.5L-5L,5,5,4,9,6,5,7,6,10,4,7,7,2,5,4,7
692,Corporate Employee,43,Female,Chandigarh,Urban,Graduate,₹20L-50L,5,5,6,5,6,5,5,6,7,5,6,5,8,5,6,4
693,Homemaker,48,Female,"Bangalore, Karnataka",Urban,Higher Secondary,Below ₹2.5L,5,5,4,7,6,5,8,4,8,4,7,6,3,3,5,7
694,Urban Student,23,Male,"Noida, Uttar Pradesh",Urban,Undergraduate,₹5L-10L,5,5,9,7,7,7,3,8,7,4,2,4,9,5,7,3
695,Small Business Owner,56,Male,"Indore, Madhya Pradesh",Urban,Undergraduate,₹5L-10L,5,5,4,8,5,4,6,5,8,6,6,7,3,6,6,6
696,Urban Student,24,Male,Chandigarh,Urban,Undergraduate,Below ₹2.5L,6,5,8,6,7,7,3,9,7,4,3,3,9,4,7,2
697,Small Business Owner,34,Male,"Aligarh, Uttar Pradesh",Semi-Urban,Secondary,₹2.5L-5L,5,5,4,8,6,4,6,5,8,7,6,6,4,6,6,6
698,Rural Farmer,56,Male,"Bhagalpur rural, Bihar",Rural,Secondary,₹2.5L-5L,5,4,3,8,4,3,7,4,6,4,5,9,2,6,5,8
699,Rural Farmer,39,Female,"Bastar district, Chhattisgarh",Rural,Secondary,₹2.5L-5L,5,4,3,8,4,3,7,4,6,4,7,9,2,6,5,7
700,Homemaker,41,Male,"Jhansi, Uttar Pradesh",Semi-Urban,Higher Secondary,₹5L-10L,5,5,4,8,6,5,7,5,8,4,7,7,4,4,5,7
701,Regional Language Aspirant,35,Female,"Jamshedpur, Jharkhand",Semi-Urban,Postgraduate,₹2.5L-5L,5,5,7,8,5,4,6,6,6,8,6,9,2,8,6,7
702,Urban Student,21,Female,"Bangalore, Karnataka",Urban,Undergraduate,Below ₹2.5L,5,4,8,6,6,7,3,9,6,3,3,4,8,3,7,3
703,Retired Government Officer,63,Male,"Ujjain, Madhya Pradesh",Semi-Urban,Graduate,₹10L-20L,8,5,7,8,4,3,6,3,5,8,8,6,7,8,6,8
704,Small Business Owner,41,Female,"Patna, Bihar",Urban,Secondary,₹2.5L-5L,5,6,4,8,5,4,6,5,9,6,7,7,3,6,6,7
705,Small Business Owner,50,Male,"Thiruvananthapuram, Kerala",Urban,Graduate,₹5L-10L,5,5,4,8,6,4,7,5,8,6,6,7,4,6,6,6
706,Retired Government Officer,65,Female,"Vadodara, Gujarat",Urban,Graduate,₹20L-50L,8,6,7,7,3,2,7,2,5,8,8,6,7,8,6,7
707,Corporate Employee,39,Male,"Bhubaneswar, Odisha",Urban,Undergraduate,₹10L-20L,5,5,5,5,7,5,4,6,6,6,5,5,8,6,6,5
708,Corporate Employee,27,Male,"Lucknow, Uttar Pradesh",Urban,Graduate,₹10L-20L,4,4,6,4,7,5,6,7,7,5,5,5,8,5,6,5
709,Regional Language Aspirant,18,Female,"Tirupati, Andhra Pradesh",Semi-Urban,Graduate,₹5L-10L,4,5,8,7,5,4,6,5,7,7,6,9,3,9,5,7
710,Regional Language Aspirant,20,Male,"Jhansi, Uttar Pradesh",Semi-Urban,Undergraduate,₹2.5L-5L,4,5,9,7,5,4,6,6,7,7,6,9,4,8,5,7
711,Retired Government Officer,64,Female,Chandigarh,Urban,Doctorate,₹5L-10L,8,6,7,7,3,3,7,3,5,8,8,6,7,7,6,7
712,Startup Founder,32,Male,"Gurugram, Haryana",Urban,Postgraduate,Above ₹50L,4,4,6,5,7,6,3,7,6,5,4,3,10,5,9,3
713,Startup Founder,37,Male,"Chennai, Tamil Nadu",Urban,Graduate,₹10L-20L,5,4,6,5,7,6,3,7,7,5,3,3,10,5,9,4
714,Homemaker,61,Female,"Madurai, Tamil Nadu",Semi-Urban,Primary,₹5L-10L,5,5,3,8,6,5,6,5,9,4,8,7,4,4,5,7
715,Homemaker,30,Female,"Village near Varanasi, Uttar Pradesh",Rural,Undergraduate,Below ₹2.5L,4,5,4,8,6,5,6,4,9,3,8,7,3,4,4,7
716,Corporate Employee,39,Female,"Chennai, Tamil Nadu",Urban,Graduate,₹10L-20L,6,5,5,5,6,5,4,6,7,5,5,5,8,5,7,5
717,Homemaker,44,Female,"Thiruvananthapuram, Kerala",Urban,Secondary,₹5L-10L,5,5,4,9,6,5,8,6,9,4,7,7,3,5,4,8
718,Homemaker,62,Female,"Nashik rural, Maharashtra",Rural,Undergraduate,Below ₹2.5L,5,6,5,8,6,5,7,5,9,4,7,6,3,4,6,7
719,Retired Government Officer,60,Female,"Madurai, Tamil Nadu",Semi-Urban,Graduate,₹5L-10L,7,6,7,7,3,2,7,3,5,8,8,6,7,8,6,7
720,Small Business Owner,38,Female,"Tirupati, Andhra Pradesh",Semi-Urban,Secondary,₹5L-10L,5,5,4,8,6,3,6,5,9,6,6,8,4,6,6,6
721,Rural Farmer,34,Male,"Village near Varanasi, Uttar Pradesh",Rural,Primary,Below ₹2.5L,5,4,3,8,4,3,7,4,6,4,6,9,2,5,5,8
722,Rural Farmer,47,Female,"Bikaner rural, Rajasthan",Rural,Secondary,Below ₹2.5L,5,4,4,7,3,3,7,4,7,5,6,9,3,6,5,8
723,Urban Student,16,Male,"Kochi, Kerala",Urban,Postgraduate,Below ₹2.5L,5,5,8,6,7,7,4,10,8,3,4,4,9,5,7,3
724,Homemaker,61,Female,"Coimbatore, Tamil Nadu",Urban,Graduate,Below ₹2.5L,5,5,4,8,5,5,8,6,9,5,7,7,3,5,5,7
725,Retired Government Officer,62,Female,"Guwahati, Assam",Urban,Postgraduate,₹5L-10L,8,6,7,6,3,2,6,3,5,8,7,6,7,8,7,7
726,Rural Farmer,30,Male,"Bhagalpur rural, Bihar",Rural,Higher Secondary,₹2.5L-5L,5,4,3,8,5,3,7,4,6,4,5,10,2,7,5,8
727,Regional Language Aspirant,23,Male,"Belgaum, Karnataka",Semi-Urban,Postgraduate,₹5L-10L,5,6,8,7,5,4,6,6,7,7,6,9,3,8,5,7
728,Homemaker,53,Female,"Rajahmundry, Andhra Pradesh",Semi-Urban,Primary,₹2.5L-5L,5,5,4,8,6,6,7,5,8,4,8,7,4,4,5,7
729,Homemaker,64,Female,"Ujjain, Madhya Pradesh",Semi-Urban,Undergraduate,Below ₹2.5L,6,5,5,8,7,5,7,5,9,4,7,7,3,4,6,7
730,Small Business Owner,37,Female,"Noida, Uttar Pradesh",Urban,Undergraduate,₹10L-20L,5,6,4,9,5,4,5,5,8,6,5,7,3,5,6,7
731,Rural Farmer,45,Female,"Sundargarh district, Odisha",Rural,Primary,₹2.5L-5L,5,4,3,7,3,3,8,4,6,4,6,9,2,6,5,8
732,Regional Language Aspirant,32,Male,"Belgaum, Karnataka",Semi-Urban,Graduate,Below ₹2.5L,6,5,8,7,4,4,6,6,8,7,5,9,3,7,5,7
733,Retired Government Officer,75,Female,"Ahmedabad, Gujarat",Urban,Postgraduate,₹10L-20L,8,6,6,7,3,3,6,3,5,8,8,7,7,8,6,7
734,Homemaker,29,Female,"Patna, Bihar",Urban,Secondary,₹5L-10L,5,5,4,8,6,5,7,5,9,3,7,7,4,5,5,7
735,Homemaker,44,Female,"Sangli district, Maharashtra",Rural,Undergraduate,₹5L-10L,5,5,4,8,5,5,7,5,10,4,7,7,3,4,5,7
736,Small Business Owner,59,Male,"Bangalore, Karnataka",Urban,Graduate,₹2.5L-5L,5,5,4,8,5,4,6,5,8,6,6,6,4,6,6,6
737,Rural Farmer,40,Female,"Bikaner rural, Rajasthan",Rural,Secondary,₹2.5L-5L,5,4,3,8,4,3,8,4,6,4,5,10,1,6,5,8
738,Corporate Employee,42,Male,"Indore, Madhya Pradesh",Urban,Postgraduate,₹10L-20L,5,6,6,5,6,5,5,6,7,5,6,4,8,5,6,5
739,Urban Student,18,Female,"Surat, Gujarat",Urban,Postgraduate,₹2.5L-5L,5,5,8,6,6,7,4,8,7,3,3,4,9,4,7,2
740,Retired Government Officer,71,Male,"Guntur, Andhra Pradesh",Semi-Urban,Postgraduate,₹20L-50L,7,6,7,7,3,3,6,3,5,8,8,6,7,8,6,7
741,Homemaker,42,Female,"Davangere, Karnataka",Semi-Urban,Graduate,Below ₹2.5L,5,5,4,7,6,5,7,5,10,4,6,7,2,4,5,8
742,Rural Farmer,33,Male,"Mehsana district, Gujarat",Rural,Primary,₹2.5L-5L,5,5,2,8,4,3,7,4,7,5,6,9,2,6,5,8
743,Small Business Owner,32,Male,"Amravati, Maharashtra",Semi-Urban,Graduate,₹10L-20L,5,5,4,7,5,3,6,5,8,6,6,7,4,6,6,6
744,Urban Student,23,Male,"Patna, Bihar",Urban,Undergraduate,Below ₹2.5L,4,5,8,6,7,7,3,9,6,3,3,3,8,4,6,2
745,Homemaker,48,Female,"Kolar district, Karnataka",Rural,Graduate,₹2.5L-5L,4,5,4,8,6,5,7,5,9,4,7,7,5,4,4,7
746,Retired Government Officer,77,Female,"Ahmedabad, Gujarat",Urban,Graduate,₹5L-10L,8,6,7,7,4,2,6,4,4,8,8,6,7,8,6,7
747,Retired Government Officer,74,Male,"Hyderabad, Telangana",Urban,Graduate,₹20L-50L,7,6,7,7,3,2,7,2,5,9,8,6,8,8,7,7
748,Homemaker,45,Female,"Kolkata, West Bengal",Urban,Undergraduate,₹5L-10L,5,5,4,8,6,5,7,5,9,4,7,8,4,5,5,7
749,Corporate Employee,44,Female,"Ahmedabad, Gujarat",Urban,Graduate,₹10L-20L,5,4,6,6,5,5,4,6,7,5,5,5,9,5,6,5
750,Retired Government Officer,62,Female,"Hubli, Karnataka",Semi-Urban,Postgraduate,₹5L-10L,7,6,7,7,3,2,7,3,5,8,8,6,6,8,6,7
751,Small Business Owner,56,Female,"Bhubaneswar, Odisha",Urban,Higher Secondary,₹5L-10L,5,5,3,8,5,4,5,5,8,6,6,7,4,6,6,6
752,Startup Founder,38,Male,"Bangalore, Karnataka",Urban,Graduate,₹10L-20L,5,4,6,5,7,6,3,7,6,5,4,3,9,5,9,3
753,Homemaker,33,Female,"Thanjavur rural, Tamil Nadu",Rural,Undergraduate,Below ₹2.5L,5,4,4,7,5,6,6,5,9,4,8,7,4,5,5,7
754,Startup Founder,36,Female,Delhi,Urban,Graduate,₹20L-50L,4,4,5,5,7,6,3,7,6,5,5,3,9,6,9,3
755,Startup Founder,25,Male,Delhi,Urban,Doctorate,Above ₹50L,4,3,6,5,6,6,3,7,8,5,4,2,9,5,9,3
756,Urban Student,24,Male,"Noida, Uttar Pradesh",Urban,Undergraduate,₹2.5L-5L,5,5,7,6,7,7,4,9,7,3,2,4,9,4,7,3
757,Rural Farmer,54,Female,"Dhar district, Madhya Pradesh",Rural,Higher Secondary,₹2.5L-5L,5,4,2,8,3,2,7,5,6,3,6,10,2,6,6,8
758,Rural Farmer,61,Female,"Kolar district, Karnataka",Rural,Primary,₹2.5L-5L,5,3,3,9,5,3,7,4,6,4,5,9,3,7,5,8
759,Regional Language Aspirant,24,Male,"Anantapur district, Andhra Pradesh",Rural,Undergraduate,₹5L-10L,4,5,8,8,5,4,6,5,7,7,6,8,3,8,5,7
760,Startup Founder,34,Other,"Hyderabad, Telangana",Urban,Doctorate,Above ₹50L,4,4,6,5,7,6,4,7,7,5,4,3,10,5,9,3
761,Small Business Owner,44,Male,"Belgaum, Karnataka",Semi-Urban,Undergraduate,₹10L-20L,5,5,4,8,5,4,6,5,7,6,7,7,3,5,6,6
762,Regional Language Aspirant,30,Female,"Sangrur district, Punjab",Rural,Postgraduate,₹5L-10L,5,5,7,6,5,4,6,6,7,7,6,9,3,7,5,7
763,Rural Farmer,49,Male,"Kannur rural, Kerala",Rural,Illiterate,₹2.5L-5L,5,5,3,9,4,3,9,4,6,4,5,10,3,7,5,8
764,Small Business Owner,41,Male,"Ahmedabad, Gujarat",Urban,Graduate,₹2.5L-5L,5,5,4,9,5,5,6,6,8,6,6,7,5,6,6,7
765,Small Business Owner,51,Male,"Rohtak, Haryana",Semi-Urban,Secondary,₹5L-10L,6,5,4,8,5,3,7,6,8,7,6,7,4,5,6,6
766,Rural Farmer,47,Male,"Sundargarh district, Odisha",Rural,Secondary,Below ₹2.5L,6,4,2,7,4,3,7,4,6,4,6,8,2,5,6,8
767,Startup Founder,43,Female,"Gurugram, Haryana",Urban,Postgraduate,₹20L-50L,4,4,6,6,6,6,4,7,7,5,4,3,10,5,9,3
768,Small Business Owner,31,Male,"Visakhapatnam, Andhra Pradesh",Urban,Secondary,₹2.5L-5L,5,5,3,8,5,5,5,5,8,6,6,6,4,6,6,6
769,Homemaker,51,Female,Chandigarh,Urban,Undergraduate,Below ₹2.5L,6,5,4,9,6,5,7,5,9,4,6,8,4,5,5,7
770,Startup Founder,27,Female,"Pune, Maharashtra",Urban,Postgraduate,₹20L-50L,4,4,6,5,7,6,3,7,7,5,4,2,10,5,9,3
771,Homemaker,31,Female,"Sitamarhi district, Bihar",Rural,Primary,₹2.5L-5L,5,4,4,8,6,5,7,4,9,4,6,8,3,4,5,7
772,Corporate Employee,42,Female,"Thiruvananthapuram, Kerala",Urban,Postgraduate,₹5L-10L,5,5,6,5,5,5,4,6,7,5,5,5,8,5,5,5
773,Startup Founder,26,Female,"Chennai, Tamil Nadu",Urban,Graduate,Above ₹50L,4,4,6,5,6,6,2,7,7,4,3,3,10,4,9,4
774,Corporate Employee,45,Male,"Vadodara, Gujarat",Urban,Postgraduate,₹10L-20L,5,4,6,5,6,5,6,6,7,5,5,5,7,4,6,5
775,Corporate Employee,43,Male,"Bhubaneswar, Odisha",Urban,Graduate,₹10L-20L,5,6,6,5,5,5,5,7,7,5,5,5,8,5,6,5
776,Homemaker,56,Female,"Dhar district, Madhya Pradesh",Rural,Primary,Below ₹2.5L,5,4,4,8,5,6,7,5,9,4,7,7,4,4,5,7
777,Regional Language Aspirant,24,Male,"Rajahmundry, Andhra Pradesh",Semi-Urban,Undergraduate,Below ₹2.5L,5,5,7,6,5,4,6,6,7,7,6,9,3,8,4,7
778,Small Business Owner,42,Male,"Lucknow, Uttar Pradesh",Urban,Secondary,₹10L-20L,5,6,4,8,4,4,6,5,8,6,6,7,4,7,6,7
779,Small Business Owner,46,Male,"Jhansi, Uttar Pradesh",Semi-Urban,Secondary,₹5L-10L,5,5,4,9,4,4,6,5,8,6,7,7,4,6,5,6
780,Startup Founder,42,Male,"Mumbai, Maharashtra",Urban,Doctorate,₹10L-20L,4,4,6,5,7,6,3,7,7,5,4,3,9,4,9,3
781,Urban Student,21,Male,Delhi,Urban,Higher Secondary,Below ₹2.5L,5,5,8,6,7,7,3,9,7,4,3,4,9,5,7,3
782,Small Business Owner,54,Male,"Bangalore, Karnataka",Urban,Graduate,₹10L-20L,6,6,4,8,5,4,7,5,8,6,6,7,4,5,7,6
783,Urban Student,16,Female,"Kochi, Kerala",Urban,Postgraduate,Below ₹2.5L,5,5,8,6,7,6,3,9,7,4,2,4,10,5,6,3
784,Startup Founder,26,Male,Delhi,Urban,Graduate,Above ₹50L,4,4,6,5,7,7,3,7,7,5,4,3,10,5,9,3
785,Urban Student,21,Female,"Vadodara, Gujarat",Urban,Postgraduate,Below ₹2.5L,6,6,8,6,7,7,5,9,7,3,4,5,9,4,7,4
786,Retired Government Officer,68,Male,"Ujjain, Madhya Pradesh",Semi-Urban,Postgraduate,₹5L-10L,8,6,7,7,3,2,6,3,5,8,8,6,7,8,6,8
787,Homemaker,62,Female,"Bilaspur, Chhattisgarh",Semi-Urban,Higher Secondary,Below ₹2.5L,5,5,4,8,6,5,8,5,9,4,7,7,4,3,4,7
788,Corporate Employee,28,Male,"Mumbai, Maharashtra",Urban,Postgraduate,₹10L-20L,5,5,6,5,6,5,4,6,7,4,5,5,7,5,6,6
789,Retired Government Officer,76,Male,"Hyderabad, Telangana",Urban,Postgraduate,₹10L-20L,8,6,7,7,3,2,8,3,5,9,7,6,7,8,5,7
790,Corporate Employee,49,Female,"Noida, Uttar Pradesh",Urban,Postgraduate,₹10L-20L,5,5,6,5,5,5,5,6,7,5,5,5,8,6,6,4
791,Small Business Owner,47,Male,"Nagpur, Maharashtra",Urban,Higher Secondary,₹10L-20L,5,5,4,8,5,4,6,5,8,6,6,7,4,6,6,6
792,Rural Farmer,60,Female,"Hoshiarpur district, Punjab",Rural,Primary,Below ₹2.5L,5,3,3,7,4,3,8,4,6,3,7,9,3,6,5,9
793,Retired Government Officer,71,Female,"Noida, Uttar Pradesh",Urban,Graduate,₹10L-20L,7,6,8,6,3,2,6,2,5,9,8,6,6,9,6,8
794,Urban Student,24,Female,"Visakhapatnam, Andhra Pradesh",Urban,Postgraduate,₹2.5L-5L,5,5,8,6,6,7,3,9,7,2,4,3,9,4,7,3
795,Startup Founder,44,Male,"Mumbai, Maharashtra",Urban,Postgraduate,Above ₹50L,4,4,6,5,7,7,3,7,7,6,4,3,9,5,8,2
796,Small Business Owner,53,Female,"Vadodara, Gujarat",Urban,Undergraduate,₹5L-10L,5,5,4,9,5,4,6,6,8,6,7,7,5,6,6,6
797,Small Business Owner,46,Male,"Visakhapatnam, Andhra Pradesh",Urban,Graduate,₹2.5L-5L,4,5,4,8,5,3,6,4,8,5,6,7,5,5,6,6
798,Retired Government Officer,66,Male,"Bilaspur, Chhattisgarh",Semi-Urban,Doctorate,₹10L-20L,8,6,7,7,3,2,7,3,5,8,8,6,7,7,6,7
799,Homemaker,30,Female,"Vadodara, Gujarat",Urban,Secondary,Below ₹2.5L,5,5,4,8,5,5,7,6,8,5,7,7,4,5,4,7
800,Startup Founder,41,Male,"Mumbai, Maharashtra",Urban,Postgraduate,₹10L-20L,5,4,6,5,8,6,3,7,7,5,4,3,9,5,9,3
801,Rural Farmer,35,Female,"Warangal rural, Telangana",Rural,Secondary,Below ₹2.5L,5,4,3,8,5,2,8,4,6,4,6,9,1,6,5,8
802,Retired Government Officer,73,Male,"Amravati, Maharashtra",Semi-Urban,Postgraduate,₹5L-10L,8,6,6,7,3,2,5,4,5,8,9,6,7,8,6,7
803,Rural Farmer,59,Female,"Ratnagiri district, Maharashtra",Rural,Higher Secondary,Below ₹2.5L,5,4,3,8,4,4,7,4,6,4,7,9,1,6,5,7
804,Regional Language Aspirant,25,Female,"Mehsana district, Gujarat",Rural,Graduate,Below ₹2.5L,5,4,8,7,5,4,5,6,7,7,5,9,3,8,5,7
805,Regional Language Aspirant,28,Male,"Bastar district, Chhattisgarh",Rural,Graduate,Below ₹2.5L,5,5,8,8,6,4,6,7,7,7,6,9,3,8,6,7
806,Rural Farmer,54,Male,"Bikaner rural, Rajasthan",Rural,Secondary,₹2.5L-5L,5,4,3,8,4,3,8,4,7,4,6,8,2,6,4,8
807,Corporate Employee,33,Other,"Visakhapatnam, Andhra Pradesh",Urban,Undergraduate,₹5L-10L,5,5,7,5,6,5,5,6,7,5,6,5,8,5,5,5
808,Homemaker,47,Male,"Bhagalpur rural, Bihar",Rural,Undergraduate,₹2.5L-5L,5,5,4,8,6,5,7,5,9,4,7,7,4,5,5,7
809,Regional Language Aspirant,30,Other,"Warangal rural, Telangana",Rural,Postgraduate,₹2.5L-5L,5,6,8,7,4,3,6,6,7,7,6,8,3,8,4,7
810,Homemaker,53,Female,"Mehsana district, Gujarat",Rural,Undergraduate,₹10L-20L,5,5,4,8,6,5,7,5,9,4,7,7,4,4,5,7
811,Corporate Employee,32,Male,"Bhopal, Madhya Pradesh",Urban,Graduate,₹5L-10L,5,5,6,5,6,5,4,6,7,5,6,5,8,5,6,6
812,Rural Farmer,50,Male,"Karimnagar district, Telangana",Rural,Secondary,₹2.5L-5L,6,4,3,7,3,3,8,4,5,4,7,9,3,5,5,8
813,Urban Student,18,Female,"Kolkata, West Bengal",Urban,Undergraduate,Below ₹2.5L,5,5,9,6,6,7,4,9,7,2,3,4,9,5,6,2
814,Rural Farmer,31,Female,"Sitamarhi district, Bihar",Rural,Secondary,₹2.5L-5L,6,5,3,9,4,3,7,4,6,4,7,9,2,6,4,8
815,Regional Language Aspirant,35,Male,"Kolhapur, Maharashtra",Semi-Urban,Postgraduate,Below ₹2.5L,5,4,8,7,5,3,6,5,7,7,5,9,4,8,5,6
816,Rural Farmer,48,Female,"Kannur rural, Kerala",Rural,Higher Secondary,Below ₹2.5L,5,4,2,8,4,3,8,4,6,4,5,9,2,5,4,9
817,Rural Farmer,53,Female,"Thanjavur rural, Tamil Nadu",Rural,Higher Secondary,₹2.5L-5L,5,3,3,8,4,3,8,4,6,4,6,9,1,6,5,8
818,Rural Farmer,60,Male,"Anantapur district, Andhra Pradesh",Rural,Primary,₹2.5L-5L,5,4,3,8,4,4,9,3,6,4,6,9,2,7,5,8
819,Corporate Employee,40,Male,"Chennai, Tamil Nadu",Urban,Graduate,₹20L-50L,5,5,6,5,6,5,4,5,7,5,5,5,8,5,7,5
820,Homemaker,35,Female,"Kochi, Kerala",Urban,Secondary,₹5L-10L,5,5,5,9,6,5,7,5,9,4,7,7,3,5,5,7
821,Retired Government Officer,69,Male,"Bangalore, Karnataka",Urban,Graduate,₹5L-10L,8,6,7,7,3,2,6,3,5,8,8,6,7,9,6,7
822,Corporate Employee,28,Female,"Ahmedabad, Gujarat",Urban,Graduate,₹10L-20L,5,5,6,5,6,6,4,6,7,5,5,5,8,4,6,5
823,Urban Student,17,Male,"Lucknow, Uttar Pradesh",Urban,Undergraduate,Below ₹2.5L,5,5,8,6,6,7,3,9,7,4,3,4,9,4,6,3
824,Small Business Owner,57,Male,"Vadodara, Gujarat",Urban,Graduate,₹2.5L-5L,5,5,4,8,5,3,6,5,8,6,6,8,3,5,5,6
825,Retired Government Officer,64,Male,"Jaipur, Rajasthan",Urban,Postgraduate,₹10L-20L,8,6,6,7,3,2,7,2,5,8,9,6,6,8,6,6
826,Corporate Employee,36,Female,"Nagpur, Maharashtra",Urban,Graduate,₹5L-10L,5,6,5,5,6,4,5,6,7,5,6,5,9,5,5,6
827,Urban Student,24,Male,"Noida, Uttar Pradesh",Urban,Undergraduate,₹2.5L-5L,5,4,8,6,7,7,4,9,7,3,3,4,10,5,6,2
828,Urban Student,23,Male,"Ahmedabad, Gujarat",Urban,Undergraduate,Below ₹2.5L,5,5,8,6,7,7,3,9,6,3,4,4,8,4,7,3
829,Urban Student,23,Male,"Patna, Bihar",Urban,Undergraduate,₹5L-10L,4,4,7,6,7,7,4,9,7,3,4,4,9,5,7,3
830,Homemaker,49,Female,"Anantapur district, Andhra Pradesh",Rural,Graduate,₹2.5L-5L,5,5,4,8,6,5,8,5,9,3,7,7,5,5,5,7
831,Corporate Employee,25,Male,"Visakhapatnam, Andhra Pradesh",Urban,Postgraduate,₹20L-50L,5,5,6,5,6,4,5,6,7,5,5,4,7,5,7,5
832,Corporate Employee,43,Male,"Thiruvananthapuram, Kerala",Urban,Postgraduate,₹20L-50L,5,5,6,5,6,5,5,6,7,5,6,4,8,5,6,6
833,Small Business Owner,32,Male,"Nagpur, Maharashtra",Urban,Higher Secondary,₹2.5L-5L,6,5,4,7,4,4,6,5,8,6,6,8,4,5,6,6
834,Small Business Owner,46,Female,"Mumbai, Maharashtra",Urban,Secondary,₹2.5L-5L,5,5,4,7,5,4,6,5,8,7,6,7,3,5,5,6
835,Homemaker,39,Female,"Vadodara, Gujarat",Urban,Undergraduate,₹2.5L-5L,5,5,4,8,6,5,7,5,9,4,7,6,2,4,5,7
836,Corporate Employee,36,Female,Chandigarh,Urban,Postgraduate,₹10L-20L,5,5,6,5,6,5,5,6,7,4,4,5,8,5,5,4
837,Urban Student,18,Male,"Chennai, Tamil Nadu",Urban,Undergraduate,Below ₹2.5L,5,6,7,6,7,7,3,9,6,3,3,3,9,4,7,3
838,Startup Founder,38,Male,"Gurugram, Haryana",Urban,Postgraduate,₹20L-50L,4,5,5,5,7,6,4,8,7,6,4,3,10,5,9,4
839,Urban Student,18,Other,Delhi,Urban,Postgraduate,₹2.5L-5L,4,4,8,6,7,7,2,9,7,4,3,4,10,5,7,3
840,Homemaker,36,Male,"Coimbatore, Tamil Nadu",Urban,Higher Secondary,Below ₹2.5L,5,5,4,8,6,5,7,5,10,4,7,7,4,5,5,7
841,Startup Founder,42,Male,"Noida, Uttar Pradesh",Urban,Postgraduate,₹20L-50L,4,5,6,5,7,6,3,8,7,4,4,3,9,5,9,3
842,Rural Farmer,49,Female,"Ratnagiri district, Maharashtra",Rural,Primary,Below ₹2.5L,5,4,3,8,4,3,8,4,5,4,6,9,2,6,5,8
843,Small Business Owner,53,Male,"Surat, Gujarat",Urban,Higher Secondary,₹10L-20L,5,5,4,8,4,5,6,6,8,6,5,7,3,5,6,7
844,Homemaker,62,Female,"Visakhapatnam, Andhra Pradesh",Urban,Undergraduate,₹2.5L-5L,6,6,4,8,6,5,6,5,9,4,7,6,4,4,5,7
845,Retired Government Officer,68,Female,"Gurugram, Haryana",Urban,Postgraduate,₹10L-20L,8,6,7,8,3,2,7,3,5,8,8,6,8,8,6,7
846,Rural Farmer,58,Female,"Karimnagar district, Telangana",Rural,Illiterate,₹5L-10L,5,5,3,8,4,4,8,4,6,4,6,9,2,6,5,9
847,Rural Farmer,51,Male,"Karimnagar district, Telangana",Rural,Primary,₹2.5L-5L,5,5,3,8,4,3,7,4,7,4,6,9,2,6,5,7
848,Retired Government Officer,72,Female,"Gurugram, Haryana",Urban,Postgraduate,₹5L-10L,9,6,7,7,3,3,7,4,6,8,8,6,7,8,6,7
849,Small Business Owner,40,Male,"Bilaspur, Chhattisgarh",Semi-Urban,Higher Secondary,₹2.5L-5L,5,5,4,8,5,4,6,5,8,7,6,8,5,6,7,6
850,Urban Student,22,Male,Chandigarh,Urban,Undergraduate,Below ₹2.5L,5,6,8,6,7,8,3,9,8,3,3,4,9,6,7,3
851,Retired Government Officer,60,Female,"Pune, Maharashtra",Urban,Doctorate,₹10L-20L,8,6,7,7,3,2,6,3,5,8,8,6,7,7,6,7
852,Small Business Owner,35,Male,"Rohtak, Haryana",Semi-Urban,Higher Secondary,₹10L-20L,6,5,5,8,5,3,6,5,8,6,5,7,3,7,6,6
853,Small Business Owner,38,Male,Chandigarh,Urban,Secondary,₹10L-20L,5,5,4,7,5,3,6,5,9,6,6,7,4,5,6,6
854,Small Business Owner,41,Male,"Bilaspur, Chhattisgarh",Semi-Urban,Undergraduate,₹2.5L-5L,5,5,4,8,5,4,7,4,7,6,6,7,4,6,6,7
